blueprintTypeID,activity,time
681,1,480
681,0,600
681,2,210
681,3,210
682,1,480
682,0,600
682,2,210
682,3,210
683,1,4800
683,4,63900
683,0,6000
683,2,2100
683,3,2100
684,1,4800
684,4,63900
684,0,6000
684,2,2100
684,3,2100
685,1,4800
685,4,63900
685,0,6000
685,2,2100
685,3,2100
686,1,9600
686,4,128100
686,0,12000
686,2,4200
686,3,4200
687,1,9600
687,4,128100
687,0,12000
687,2,4200
687,3,4200
688,1,14400
688,4,192000
688,0,18000
688,2,6300
688,3,6300
689,1,4800
689,4,63900
689,0,6000
689,2,2100
689,3,2100
690,1,4800
690,4,63900
690,0,6000
690,2,2100
690,3,2100
691,1,4800
691,4,63900
691,0,6000
691,2,2100
691,3,2100
692,1,9600
692,4,128100
692,0,12000
692,2,4200
692,3,4200
693,1,14400
693,4,192000
693,0,18000
693,2,6300
693,3,6300
784,1,1872
784,0,2340
784,2,819
784,3,819
785,1,720
785,4,13800
785,0,900
785,2,315
785,3,315
786,1,720
786,4,13800
786,0,900
786,2,315
786,3,315
788,1,1440
788,4,30900
788,0,1800
788,2,630
788,3,630
790,1,2160
790,4,51000
790,0,2700
790,2,945
790,3,945
803,1,720
803,4,68100
803,0,900
803,2,315
803,3,315
804,1,720
804,4,68100
804,0,900
804,2,315
804,3,315
805,1,720
805,4,68100
805,0,900
805,2,315
805,3,315
806,1,720
806,4,68100
806,0,900
806,2,315
806,3,315
807,1,480
807,4,45600
807,0,600
807,2,210
807,3,210
808,1,480
808,4,45600
808,0,600
808,2,210
808,3,210
809,1,480
809,4,45600
809,0,600
809,2,210
809,3,210
810,1,480
810,4,45600
810,0,600
810,2,210
810,3,210
811,1,240
811,4,22800
811,0,300
811,2,105
811,3,105
812,1,240
812,4,22800
812,0,300
812,2,105
812,3,105
813,1,240
813,4,22800
813,0,300
813,2,105
813,3,105
814,1,240
814,4,22800
814,0,300
814,2,105
814,3,105
819,1,720
819,4,13800
819,0,900
819,2,315
819,3,315
820,1,720
820,4,13800
820,0,900
820,2,315
820,3,315
821,1,720
821,4,13800
821,0,900
821,2,315
821,3,315
822,1,720
822,4,13800
822,0,900
822,2,315
822,3,315
823,1,720
823,4,13800
823,0,900
823,2,315
823,3,315
824,1,1440
824,4,30900
824,0,1800
824,2,630
824,3,630
825,1,1440
825,4,30900
825,0,1800
825,2,630
825,3,630
826,1,1440
826,4,30900
826,0,1800
826,2,630
826,3,630
827,1,1440
827,4,30900
827,0,1800
827,2,630
827,3,630
828,1,1440
828,4,30900
828,0,1800
828,2,630
828,3,630
829,1,2160
829,4,51000
829,0,2700
829,2,945
829,3,945
830,1,2160
830,4,51000
830,0,2700
830,2,945
830,3,945
831,1,2160
831,4,51000
831,0,2700
831,2,945
831,3,945
832,1,2160
832,4,51000
832,0,2700
