blueprintTypeID,activity,typeID,quantity
681,0,38,86
682,0,38,133
683,4,20416,2
683,4,25887,2
683,0,38,2
683,0,39,4
683,0,37,500
683,0,36,2444
683,0,35,8000
683,0,34,22222
684,4,20411,2
684,4,25887,2
684,0,34,20000
684,0,35,4444
684,0,36,2111
684,0,37,556
684,0,38,11
684,0,39,2
685,4,20418,2
685,4,25887,2
685,0,34,13333
685,0,35,12778
685,0,36,1667
685,0,37,222
685,0,38,56
685,0,39,22
685,0,40,6
686,4,20416,8
686,4,25887,8
686,0,34,544444
686,0,35,130000
686,0,36,31111
686,0,37,8778
686,0,38,1556
686,0,39,888
686,0,40,178
687,4,20411,8
687,4,25887,8
687,0,34,544444
687,0,35,122222
687,0,36,36667
687,0,37,10444
687,0,38,3333
687,0,39,1400
687,0,40,556
688,4,20411,32
688,4,25887,32
688,0,34,10608667
688,0,35,2652667
688,0,36,664444
688,0,37,165911
688,0,38,41422
688,0,39,19756
688,0,40,6288
689,4,20411,2
689,4,20172,2
689,0,34,21111
689,0,35,5000
689,0,36,1667
689,0,37,111
689,0,38,100
689,0,40,6
690,4,20414,2
690,4,20172,2
690,0,34,15556
690,0,35,10222
690,0,36,2778
690,0,37,111
690,0,38,78
690,0,39,34
690,0,40,6
691,4,20424,2
691,4,20172,2
691,0,34,22778
691,0,35,6222
691,0,36,2222
691,0,37,356
691,0,38,133
691,0,39,34
691,0,40,2
692,4,20411,8
692,4,20172,8
692,0,34,511111
692,0,35,188889
692,0,36,40000
692,0,37,10333
692,0,38,2778
692,0,39,1244
692,0,40,244
693,4,20411,32
693,4,20172,32
693,0,34,10321889
693,0,35,2581444
693,0,36,647667
693,0,37,161511
693,0,38,40278
693,0,39,19000
693,0,40,5466
784,1,11459,1
784,1,3812,6
784,0,11399,1
784,0,3689,8
784,0,483,1
784,0,11541,5
784,0,11689,3
784,0,11482,1
784,2,11459,1
784,2,9836,1
784,2,3814,3
784,3,11459,1
784,3,3814,3
785,4,20424,2
785,4,20413,2
785,0,34,1324
785,0,35,481
785,0,36,119
786,4,20423,1
786,4,20420,1
786,0,34,471
786,0,35,716
788,4,20423,2
788,4,20420,2
788,0,34,3258
788,0,35,2926
788,0,36,107
790,4,20423,3
790,4,20420,3
790,0,40,22
790,0,34,122
790,0,35,1342
790,0,38,9
790,0,39,4
803,4,20418,1
803,4,20420,1
803,0,34,3084
803,0,35,472
803,0,36,68
803,0,39,4
804,4,20418,1
804,4,20420,1
804,0,34,1867
804,0,35,144
804,0,36,17
804,0,38,2
804,0,39,4
805,4,20418,1
805,4,20420,1
805,0,34,1842
805,0,35,707
805,0,39,4
806,4,20418,1
806,4,20420,1
806,0,34,1447
806,0,36,81
806,0,37,4
806,0,39,2
807,4,20418,1
807,4,20420,1
807,0,34,351
807,0,35,119
807,0,38,1
808,4,20418,1
808,4,20420,1
808,0,34,496
808,0,35,220
808,0,38,2
809,4,20418,1
809,4,20420,1
809,0,34,716
809,0,35,2
809,0,36,6
809,0,38,3
810,4,20418,1
810,4,20420,1
810,0,34,820
810,0,38,2
811,4,20418,1
811,4,20420,1
811,0,34,69
811,0,35,43
811,0,36,2
812,4,20418,1
812,4,20420,1
812,0,34,58
812,0,35,72
813,4,20418,1
813,4,20420,1
813,0,34,150
813,0,35,18
813,0,36,12
814,4,20418,1
814,4,20420,1
814,0,34,54
814,0,35,16
814,0,36,6
819,4,20424,1
819,4,20423,1
819,0,34,231
819,0,35,220
820,4,20424,1
820,4,20423,1
820,0,34,996
820,0,35,300
820,0,39,2
821,4,20424,1
821,4,20423,1
821,0,34,1667
821,0,35,144
821,0,36,83
821,0,37,22
822,4,20424,1
822,4,20423,1
822,0,34,1596
822,0,35,690
822,0,36,144
823,4,20424,1
823,4,20423,1
823,0,34,2729
823,0,35,148
823,0,36,171
823,0,39,4
824,4,20424,2
824,4,20423,2
824,0,34,827
824,0,35,598
824,0,36,493
825,4,20424,2
825,4,20423,2
825,0,40,2
825,0,34,4453
825,0,35,1287
825,0,36,1199
826,4,20424,2
826,4,20423,2
826,0,34,4529
826,0,35,1643
826,0,36,2413
826,0,38,1
827,4,20424,2
827,4,20423,2
827,0,34,9089
827,0,35,2786
827,0,36,2827
827,0,37,14
827,0,38,1
828,4,20424,2
828,4,20423,2
828,0,34,9133
828,0,35,2981
828,0,36,3599
828,0,37,2
828,0,38,18
829,4,20424,3
829,4,20423,3
829,0,40,8
829,0,34,13684
829,0,35,4117
829,0,36,3851
829,0,39,2
830,4,20424,3
830,4,20423,3
830,0,34,45551
830,0,35,12150
830,0,36,6060
830,0,37,1596
830,0,38,126
830,0,39,16
831,4,20424,3
831,4,20423,3
831,0,34,68307
831,0,35,17839
831,0,36,7197
831,0,37,1951
831,0,38,234
831,0,39,12
831,0,40,26
832,4,20424,3
832,4,20423,3
832,0,34,91067
832,0,35,23527
832,0,36,8613
832,0,37,2294
832,0,38,324
832,0,39,18
832,0,40,52
833,4,20424,3
833,4,20423,3
833,0,34,113880
833,0,35,29214
833,0,36,9747
833,0,37,2650
833,0,38,411
833,0,39,42
833,0,40,74
834,4,20411,1
834,4,20413,1
834,0,34,231
834,0,35,220
835,4,20411,1
835,4,20413,1
835,0,34,1102
835,0,35,113
835,0,36,4
835,0,38,2
835,0,39,2
836,4,20411,1
836,4,20413,1
836,0,34,1742
836,0,35,6
836,0,36,78
836,0,37,13
836,0,39,2
837,4,20411,1
837,4,20413,1
837,0,34,1556
837,0,35,1158
837,0,36,3
837,0,37,7
838,4,20411,1
838,4,20413,1
838,0,34,2200
838,0,35,809
838,0,36,21
838,0,37,4
838,0,39,4
839,4,20411,2
839,4,20413,2
839,0,34,9
839,0,35,598
839,0,36,493
840,4,20411,2
840,4,20413,2
840,0,40,2
840,0,34,4453
840,0,35,1287
840,0,36,1199
841,4,20411,2
841,4,20413,2
841,0,34,4529
841,0,35,1643
841,0,36,2413
841,0,38,1
842,4,20411,2
842,4,20413,2
842,0,34,9089
842,0,35,2786
842,0,36,2827
842,0,37,14
842,0,38,1
843,4,20411,2
843,4,20413,2
843,0,34,9133
843,0,35,2981
843,0,36,3599
843,0,37,2
843,0,38,18
844,4,20411,3
844,4,20413,3
844,0,40,8
844,0,34,13684
844,0,35,4117
844,0,36,3851
844,0,39,2
845,4,20411,3
845,4,20413,3
845,0,34,45551
845,0,35,12150
845,0,36,6060
845,0,37,1596
845,0,38,126
845,0,39,16
846,4,20411,3
846,4,20413,3
846,0,34,68307
846,0,35,17839
846,0,36,7197
846,0,37,1951
846,0,38,234
846,0,39,12
846,0,40,26
847,4,20411,3
847,4,20413,3
847,0,34,91067
847,0,35,23527
847,0,36,8613
847,0,37,2294
847,0,38,324
847,0,39,18
847,0,40,52
848,4,20411,3
848,4,20413,3
848,0,34,113880
848,0,35,29214
848,0,36,9747
848,0,37,2650
848,0,38,411
848,0,39,42
848,0,40,74
879,4,20424,1
879,4,20423,1
879,0,34,27
879,0,35,21
880,4,20424,1
880,4,20423,1
880,0,34,38
880,0,35,32
881,0,34,58
881,0,35,23
881,0,37,1
882,4,20423,1
882,4,20424,1
882,0,34,118
882,0,36,1
882,0,37,2
883,4,20424,1
883,4,20423,1
883,0,34,58
883,0,35,64
883,0,36,1
884,0,34,162
884,0,35,3
884,0,37,3
885,0,34,164
885,0,35,17
885,0,37,3
886,0,34,204
886,0,35,17
886,0,38,1
887,4,20424,1
887,4,20423,1
887,0,34,164
887,0,35,17
887,0,37,3
888,4,20424,1
888,4,20423,1
888,0,34,116
888,0,35,129
888,0,36,2
889,0,34,139
889,0,35,194
890,4,20423,1
890,4,20424,1
890,0,34,290
890,0,35,119
890,0,36,14
890,0,37,2
891,4,20424,1
891,4,20423,1
891,0,34,288
891,0,35,254
892,0,34,239
892,0,35,318
892,0,36,1
893,0,34,668
893,0,35,36
893,0,36,4
893,0,37,14
894,0,34,449
894,0,35,417
894,0,36,7
895,4,20424,1
895,4,20423,1
895,0,34,249
895,0,35,198
895,0,37,1
896,4,20424,1
896,4,20423,1
896,0,34,520
896,0,35,100
896,0,36,2
896,0,37,2
896,0,38,2
897,0,34,511
897,0,35,428
898,4,20423,1
898,4,20424,1
898,0,34,458
