blueprintTypeID,activity,typeID,level
683,4,11442,1
683,4,11454,1
683,4,21790,1
683,0,3380,1
684,4,11433,1
684,4,21790,1
684,4,11454,1
684,0,3380,1
685,4,11453,1
685,4,21790,1
685,4,11454,1
685,0,3380,1
686,4,11442,1
686,4,21790,1
686,4,11454,1
686,0,3380,1
687,4,11433,1
687,4,21790,1
687,4,11454,1
687,0,3380,1
688,4,11433,1
688,4,21790,1
688,4,11454,1
688,0,3380,1
689,4,11445,1
689,4,11433,1
689,4,21791,1
689,0,3380,1
690,4,11445,1
690,4,11455,1
690,4,21791,1
690,0,3380,1
691,4,11445,1
691,4,11452,1
691,4,21791,1
691,0,3380,1
692,4,11445,1
692,4,11433,1
692,4,21791,1
692,0,3380,1
693,4,11445,1
693,4,11433,1
693,4,21791,1
693,0,3380,1
784,1,11447,1
784,1,11452,1
784,0,3380,5
784,0,11447,1
784,0,11452,1
784,2,3409,5
784,2,11447,1
784,2,11452,1
784,3,3403,5
784,3,11447,1
784,3,11452,1
785,4,11447,1
785,4,11452,1
785,4,23121,1
785,0,3380,1
786,4,11451,1
786,4,11449,1
786,4,21790,1
786,0,3380,1
788,4,11451,1
788,4,11449,1
788,4,21790,1
788,0,3380,1
790,4,11451,1
790,4,11449,1
790,4,21790,1
790,0,3380,1
803,4,11453,1
803,4,11449,1
803,4,21790,1
803,0,3380,1
804,4,11453,1
804,4,11449,1
804,4,21790,1
804,0,3380,1
805,4,11453,1
805,4,11449,1
805,4,21790,1
805,0,3380,1
806,4,11453,1
806,4,11449,1
806,4,21790,1
806,0,3380,1
807,4,11453,1
807,4,11449,1
807,4,21790,1
807,0,3380,1
808,4,11453,1
808,4,11449,1
808,4,21790,1
808,0,3380,1
809,4,11453,1
809,4,11449,1
809,4,21790,1
809,0,3380,1
810,4,11453,1
810,4,11449,1
810,4,21790,1
810,0,3380,1
811,4,11453,1
811,4,11449,1
811,4,21790,1
811,0,3380,1
812,4,11453,1
812,4,11449,1
812,4,21790,1
812,0,3380,1
813,4,11453,1
813,4,11449,1
813,4,21790,1
813,0,3380,1
814,4,11453,1
814,4,11449,1
814,4,21790,1
814,0,3380,1
819,4,11451,1
819,4,11452,1
819,4,21791,1
819,0,3380,1
820,4,11451,1
820,4,11452,1
820,4,21791,1
820,0,3380,1
821,4,11451,1
821,4,11452,1
821,4,21791,1
821,0,3380,1
822,4,11451,1
822,4,11452,1
822,4,21791,1
822,0,3380,1
823,4,11451,1
823,4,11452,1
823,4,21791,1
823,0,3380,1
824,4,11451,1
824,4,11452,1
824,4,21791,1
824,0,3380,1
825,4,11451,1
825,4,11452,1
825,4,21791,1
825,0,3380,1
826,4,11451,1
826,4,11452,1
826,4,21791,1
826,0,3380,1
827,4,11451,1
827,4,11452,1
827,4,21791,1
827,0,3380,1
828,4,11451,1
828,4,11452,1
828,4,21791,1
828,0,3380,1
829,4,11451,1
829,4,11452,1
829,4,21791,1
829,0,3380,1
830,4,11451,1
830,4,11452,1
830,4,21791,1
830,0,3380,1
831,4,11451,1
831,4,11452,1
831,4,21791,1
831,0,3380,1
832,4,11451,1
832,4,11452,1
832,4,21791,1
832,0,3380,1
833,4,11451,1
833,4,11452,1
833,4,21791,1
833,0,3380,1
834,4,11433,1
834,4,11447,1
834,4,23087,1
834,0,3380,1
835,4,11433,1
835,4,11447,1
835,4,23087,1
835,0,3380,1
836,4,11433,1
836,4,11447,1
836,4,23087,1
836,0,3380,1
837,4,11433,1
837,4,11447,1
837,4,23087,1
837,0,3380,1
838,4,11433,1
838,4,11447,1
838,4,23087,1
838,0,3380,1
839,4,11433,1
839,4,11447,1
839,4,23087,1
839,0,3380,1
840,4,11433,1
840,4,11447,1
840,4,23087,1
840,0,3380,1
841,4,11433,1
841,4,11447,1
841,4,23087,1
841,0,3380,1
842,4,11433,1
842,4,11447,1
842,4,23087,1
842,0,3380,1
843,4,11433,1
843,4,11447,1
843,4,23087,1
843,0,3380,1
844,4,11433,1
844,4,11447,1
844,4,23087,1
844,0,3380,1
845,4,11433,1
845,4,11447,1
845,4,23087,1
845,0,3380,1
846,4,11433,1
846,4,11447,1
846,4,23087,1
846,0,3380,1
847,4,11433,1
847,4,11447,1
847,4,23087,1
847,0,3380,1
848,4,11433,1
848,4,11447,1
848,4,23087,1
848,0,3380,1
879,4,11452,1
879,4,11451,1
879,4,21791,1
879,0,3380,1
880,4,11452,1
880,4,11451,1
880,4,21791,1
880,0,3380,1
881,0,3380,1
882,4,11452,1
882,4,11451,1
882,4,21791,1
882,0,3380,1
883,4,11452,1
883,4,11451,1
883,4,21791,1
883,0,3380,1
884,0,3380,1
885,0,3380,1
886,0,3380,1
887,4,11452,1
887,4,11451,1
887,4,21791,1
887,0,3380,1
888,4,11452,1
888,4,11451,1
888,4,21791,1
888,0,3380,1
889,0,3380,1
890,4,11452,1
890,4,11451,1
890,4,21791,1
890,0,3380,1
891,4,11452,1
891,4,11451,1
891,4,21791,1
