typeID,name
18,Plagioclase
19,Spodumain
20,Kernite
21,Hedbergite
22,Arkonor
25,Corpse Male
34,Tritanium
35,Pyerite
36,Mexallon
37,Isogen
38,Nocxium
39,Zydrine
40,Megacyte
41,Garbage
42,Spiced Wine
43,Antibiotics
44,Enriched Uranium
45,Frozen Plant Seeds
178,Carbonized Lead S
179,Nuclear S
180,Proton S
181,Depleted Uranium S
182,Titanium Sabot S
183,Fusion S
184,Phased Plasma S
185,EMP S
186,Carbonized Lead M
187,Nuclear M
188,Proton M
189,Depleted Uranium M
190,Titanium Sabot M
191,Fusion M
192,Phased Plasma M
193,EMP M
194,Carbonized Lead L
195,Nuclear L
196,Proton L
197,Depleted Uranium L
198,Titanium Sabot L
199,Fusion L
200,Phased Plasma L
201,EMP L
202,Mjolnir Cruise Missile
203,Scourge Cruise Missile
204,Inferno Cruise Missile
205,Nova Cruise Missile
206,Nova Heavy Missile
207,Mjolnir Heavy Missile
208,Inferno Heavy Missile
209,Scourge Heavy Missile
210,Scourge Light Missile
211,Inferno Light Missile
212,Mjolnir Light Missile
213,Nova Light Missile
215,Iron Charge S
216,Tungsten Charge S
217,Iridium Charge S
218,Lead Charge S
219,Thorium Charge S
220,Uranium Charge S
221,Plutonium Charge S
222,Antimatter Charge S
223,Iron Charge M
224,Tungsten Charge M
225,Iridium Charge M
226,Lead Charge M
227,Thorium Charge M
228,Uranium Charge M
229,Plutonium Charge M
230,Antimatter Charge M
231,Iron Charge L
232,Tungsten Charge L
233,Iridium Charge L
234,Lead Charge L
235,Thorium Charge L
236,Uranium Charge L
237,Plutonium Charge L
238,Antimatter Charge L
239,Radio S
240,Microwave S
241,Infrared S
242,Standard S
243,Ultraviolet S
244,Xray S
245,Gamma S
246,Multifrequency S
247,Radio M
248,Microwave M
249,Infrared M
250,Standard M
251,Ultraviolet M
252,Xray M
253,Gamma M
254,Multifrequency M
255,Radio L
256,Microwave L
257,Infrared L
258,Standard L
259,Ultraviolet L
260,Xray L
261,Gamma L
262,Multifrequency L
263,Cap Booster 25
264,Cap Booster 50
266,Scourge Rocket
267,Scourge Torpedo
269,Mjolnir Auto-Targeting Light Missile I
377,Small Shield Extender I
380,Small Shield Extender II
393,Shield Recharger I
394,Shield Recharger II
399,Small Shield Booster I
400,Small Shield Booster II
405,'Micro' Remote Shield Booster
421,'Basic' Capacitor Recharger
434,5MN Microwarpdrive I
438,1MN Afterburner II
439,1MN Afterburner I
440,5MN Microwarpdrive II
442,Cargo Scanner I
443,Ship Scanner I
444,Survey Scanner I
447,Warp Scrambler I
448,Warp Scrambler II
450,Gatling Pulse Laser I
451,Dual Light Pulse Laser I
452,Dual Light Beam Laser I
453,Small Focused Pulse Laser I
454,Small Focused Beam Laser I
455,Quad Light Beam Laser I
456,Focused Medium Pulse Laser I
457,Focused Medium Beam Laser I
458,Heavy Pulse Laser I
459,Heavy Beam Laser I
460,Dual Heavy Pulse Laser I
461,Dual Heavy Beam Laser I
462,Mega Pulse Laser I
463,Mega Beam Laser I
464,Tachyon Beam Laser I
482,Miner II
483,Miner I
484,125mm Gatling AutoCannon I
