typeID,groupID,volume,packaged
18,458,0.35,
19,461,16.0,
20,457,1.2,
21,454,3.0,
22,450,16.0,
25,14,2.0,
34,18,0.01,
35,18,0.01,
36,18,0.01,
37,18,0.01,
38,18,0.01,
39,18,0.01,
40,18,0.01,
41,280,0.25,
42,280,0.5,
43,280,0.2,
44,1034,1.5,
45,281,0.5,
178,83,0.0025,
179,83,0.0025,
180,83,0.0025,
181,83,0.0025,
182,83,0.0025,
183,83,0.0025,
184,83,0.0025,
185,83,0.0025,
186,83,0.0125,
187,83,0.0125,
188,83,0.0125,
189,83,0.0125,
190,83,0.0125,
191,83,0.0125,
192,83,0.0125,
193,83,0.0125,
194,83,0.025,
195,83,0.025,
196,83,0.025,
197,83,0.025,
198,83,0.025,
199,83,0.025,
200,83,0.025,
201,83,0.025,
202,386,0.05,
203,386,0.05,
204,386,0.05,
205,386,0.05,
206,385,0.03,
207,385,0.03,
208,385,0.03,
209,385,0.03,
210,384,0.015,
211,384,0.015,
212,384,0.015,
213,384,0.015,
215,85,0.0025,
216,85,0.0025,
217,85,0.0025,
218,85,0.0025,
219,85,0.0025,
220,85,0.0025,
221,85,0.0025,
222,85,0.0025,
223,85,0.0125,
224,85,0.0125,
225,85,0.0125,
226,85,0.0125,
227,85,0.0125,
228,85,0.0125,
229,85,0.0125,
230,85,0.0125,
231,85,0.025,
232,85,0.025,
233,85,0.025,
234,85,0.025,
235,85,0.025,
236,85,0.025,
237,85,0.025,
238,85,0.025,
239,86,1.0,
240,86,1.0,
241,86,1.0,
242,86,1.0,
243,86,1.0,
244,86,1.0,
245,86,1.0,
246,86,1.0,
247,86,1.0,
248,86,1.0,
249,86,1.0,
250,86,1.0,
251,86,1.0,
252,86,1.0,
253,86,1.0,
254,86,1.0,
255,86,1.0,
256,86,1.0,
257,86,1.0,
258,86,1.0,
259,86,1.0,
260,86,1.0,
261,86,1.0,
262,86,1.0,
263,87,1.0,
264,87,2.0,
266,387,0.005,
267,89,0.05,
269,394,0.015,
377,38,5.0,
380,38,5.0,
393,39,5.0,
394,39,5.0,
399,40,5.0,
400,40,5.0,
405,41,2.5,
421,43,5.0,
434,46,10.0,
438,46,5.0,
439,46,5.0,
440,46,10.0,
442,47,5.0,
443,48,5.0,
444,49,5.0,
447,52,5.0,
448,52,5.0,
450,53,5.0,
451,53,5.0,
452,53,5.0,
453,53,5.0,
454,53,5.0,
455,53,10.0,
456,53,10.0,
457,53,10.0,
458,53,25.0,
459,53,25.0,
460,53,20.0,
461,53,50.0,
462,53,50.0,
463,53,50.0,
464,53,50.0,
482,54,5.0,
483,54,5.0,
484,55,5.0,
485,55,5.0,
486,55,5.0,
487,55,5.0,
488,55,5.0,
489,55,10.0,
490,55,10.0,
491,55,10.0,
492,55,25.0,
493,55,25.0,
494,55,20.0,
495,55,50.0,
496,55,25.0,
497,55,50.0,
498,55,50.0,
499,509,5.0,
501,510,10.0,
503,508,20.0,
506,767,5.0,
508,770,5.0,
509,768,5.0,
518,59,5.0,
519,59,5.0,
520,59,5.0,
521,60,5.0,
522,61,2.5,
523,62,5.0,
524,63,12.5,
526,65,5.0,
527,65,5.0,
529,67,25.0,
530,68,5.0,
533,71,5.0,
561,74,5.0,
562,74,5.0,
563,74,5.0,
564,74,5.0,
565,74,5.0,
566,74,10.0,
567,74,10.0,
568,74,25.0,
569,74,10.0,
570,74,25.0,
571,74,50.0,
572,74,20.0,
573,74,50.0,
574,74,50.0,
575,74,50.0,
577,76,10.0,
578,77,20.0,
580,80,5.0,
581,82,25.0,
582,25,20000.0,2500.0
583,25,18000.0,2500.0
584,25,19400.0,2500.0
585,25,17400.0,2500.0
586,25,19500.0,2500.0
587,25,27289.0,2500.0
588,237,15800.0,2500.0
589,25,28100.0,2500.0
590,25,28700.0,2500.0
591,25,24398.0,2500.0
592,25,10000.0,2500.0
593,25,26500.0,2500.0
594,25,29500.0,2500.0
596,237,28100.0,2500.0
597,25,28600.0,2500.0
598,25,20000.0,2500.0
599,25,17100.0,2500.0
601,237,15000.0,2500.0
602,25,19700.0,2500.0
603,25,16500.0,2500.0
605,25,18900.0,2500.0
606,237,24500.0,2500.0
607,25,21500.0,2500.0
608,25,22500.0,2500.0
609,25,23000.0,2500.0
615,237,17400.0,2500.0
617,237,17660.0,2500.0
620,26,107000.0,10000.0
621,26,92000.0,10000.0
622,26,80000.0,10000.0
623,26,101000.0,10000.0
624,26,118000.0,10000.0
625,26,115000.0,10000.0
626,26,115000.0,10000.0
627,26,112000.0,10000.0
628,26,120000.0,10000.0
629,26,96000.0,10000.0
630,26,85000.0,10000.0
631,26,89000.0,10000.0
632,26,96000.0,10000.0
633,26,116000.0,10000.0
634,26,113000.0,10000.0
635,26,115000.0,10000.0
638,27,486000.0,50000.0
639,27,450000.0,50000.0
640,27,468000.0,50000.0
641,27,486000.0,50000.0
642,27,495000.0,50000.0
643,27,486000.0,50000.0
644,27,414000.0,50000.0
645,27,454500.0,50000.0
648,28,250000.0,20000.0
649,28,270000.0,20000.0
650,28,240000.0,20000.0
651,28,400000.0,20000.0
652,28,255000.0,20000.0
653,28,225000.0,20000.0
654,28,245000.0,20000.0
655,28,250000.0,20000.0
656,28,265000.0,20000.0
657,28,275000.0,20000.0
671,30,145500000.0,10000000.0
672,31,5000.0,500.0
1182,96,5.0,
1183,62,5.0,
1185,61,5.0,
1190,67,5.0,
1192,764,5.0,
1193,98,5.0,
1195,43,5.0,
1197,98,5.0,
1198,98,5.0,
1201,100,25.0,
1202,101,5.0,
1223,451,16.0,
1224,459,0.3,
1225,452,16.0,
1226,456,2.0,
1227,469,0.6,
1228,460,0.15,
1229,467,5.0,
1230,462,0.1,
1231,455,3.0,
1232,453,8.0,
1236,764,5.0,
1240,78,5.0,
1242,763,5.0,
1244,764,5.0,
1246,768,5.0,
1248,768,5.0,
1254,770,5.0,
1256,770,5.0,
1262,98,5.0,
1264,98,5.0,
1266,98,5.0,
1272,98,5.0,
1274,98,5.0,
1276,98,5.0,
1282,98,5.0,
1284,98,5.0,
1286,98,5.0,
1292,98,5.0,
1294,98,5.0,
1296,98,5.0,
1302,98,5.0,
1304,98,5.0,
1306,98,5.0,
1315,765,5.0,
1317,765,5.0,
1319,765,5.0,
1333,78,25.0,
1335,78,5.0,
1351,769,5.0,
1353,769,5.0,
1355,769,5.0,
1401,762,5.0,
1403,762,5.0,
1405,762,5.0,
1419,57,5.0,
1422,57,5.0,
1436,96,5.0,
1445,767,5.0,
1447,767,5.0,
1537,766,5.0,
1539,766,5.0,
1541,766,5.0,
1547,72,12.5,
1549,72,5.0,
1551,72,12.5,
1553,72,5.0,
1557,72,12.5,
1559,72,5.0,
1563,72,12.5,
1565,72,5.0,
1798,295,5.0,
1800,295,5.0,
1802,295,5.0,
1804,295,5.0,
1808,295,5.0,
1810,394,0.015,
1814,394,0.015,
1816,394,0.015,
1818,395,0.03,
1820,395,0.03,
1822,395,0.03,
1824,395,0.03,
1826,396,0.05,
1828,396,0.05,
1830,396,0.05,
1832,396,0.05,
1855,48,5.0,
1875,511,10.0,
1877,511,10.0,
1893,205,5.0,
1944,28,260000.0,20000.0
1948,201,5.0,
1949,210,5.0,
1951,211,5.0,
1952,212,5.0,
1955,201,5.0,
1956,201,5.0,
1957,201,5.0,
1958,201,5.0,
1963,290,25.0,
1964,290,5.0,
1968,208,5.0,
1969,208,5.0,
1973,212,5.0,
1977,213,5.0,
1978,213,5.0,
1986,210,5.0,
1987,210,5.0,
1998,211,5.0,
1999,211,5.0,
2001,1016,200000.0,
2006,26,118000.0,10000.0
2008,1016,200000.0,
2009,1016,200000.0,
2013,283,1.0,
2018,61,10.0,
2020,61,15.0,
2024,76,10.0,
2026,1021,5000.0,
2027,1021,10000.0,
2028,1021,20000.0,
2029,1021,40000.0,
2030,1021,60000.0,
2031,1021,5000.0,
2032,43,5.0,
2034,1021,10000.0,
2035,1021,20000.0,
2036,1021,40000.0,
2037,1021,60000.0,
2038,47,5.0,
2040,1020,5000.0,
2041,1020,10000.0,
2042,1020,20000.0,
2043,1020,40000.0,
2044,1020,60000.0,
2046,60,5.0,
2048,60,5.0,
2050,77,5.0,
2053,1020,5000.0,
2054,1020,10000.0,
2055,1020,20000.0,
2056,1020,40000.0,
2057,1020,60000.0,
2058,1021,5000.0,
2059,1021,10000.0,
2060,1021,20000.0,
2061,1021,40000.0,
2062,1021,60000.0,
2073,1035,0.01,
2074,314,0.1,
2075,314,0.01,
2076,474,0.1,
2078,1022,5000.0,500.0
2082,1730,1.0,
2083,481,5.0,
2093,283,1.0,
2100,314,0.1,
2103,209,25.0,
2104,209,5.0,
2108,291,5.0,
2109,291,5.0,
2117,80,5.0,
2161,25,28100.0,2500.0
2173,100,10.0,
2175,100,10.0,
2178,1019,0.3,
2180,1019,0.3,
2182,1019,0.3,
2183,100,10.0,
2185,100,10.0,
2188,1019,0.3,
2193,100,25.0,
2195,100,25.0,
2197,314,32.0,
2198,314,450.0,
2199,314,20.0,
2200,314,2000.0,
2201,314,30.0,
2202,314,300.0,
2203,100,5.0,
2205,100,5.0,
2215,314,12.0,
2216,314,120.0,
2217,283,1.0,
2219,314,125.0,
2220,314,12.0,
2221,314,25.0,
2226,283,1.0,
2239,283,1.0,
2240,283,3.0,
2244,283,1.0,
2250,314,0.1,
2254,1027,1000.0,
2256,1030,0.0,
2257,1029,0.0,
2267,1032,0.01,
2268,1033,0.01,
2270,1032,0.01,
2272,1032,0.01,
2280,1036,0.0,
2286,1035,0.01,
2287,1035,0.01,
2288,1035,0.01,
2289,77,20.0,
2291,77,20.0,
2293,77,20.0,
2295,77,20.0,
2297,77,5.0,
2299,77,5.0,
2301,77,5.0,
2303,77,5.0,
2305,1035,0.01,
2306,1032,0.01,
2307,1032,0.01,
2308,1033,0.01,
2309,1033,0.01,
2310,1033,0.01,
2311,1033,0.01,
2312,1034,1.5,
2317,1034,1.5,
2319,1034,1.5,
2321,1034,1.5,
2327,1034,1.5,
